"","gene","CvDep","CvDep_diff","CvPTSD","CvPTSD_diff","CvPTSDDep","CvPTSDDep_diff","CTEvDep","CTEvDep_diff","CTEvPTSD","CTEvPTSD_diff","CTEvPTSDDep","CTEvPTSDDep_diff"
"200","STRAP","Over",0.0136,"Over",0.2947,"Over",0.0812,"Over",0.0295,"Over",0.3106,"Over",0.097
"201","SP110","Under",0.0194,"Over",0.0086,"Over",0.2396,"Under",0.1083,"Under",0.0803,"Over",0.1508
"202","RPL22","Over",0.2072,"Over",0.1655,"Over",0.0117,"Over",0.1183,"Over",0.0766,"Under",0.0772
"203","MPP1","Under",0.1735,"Over",0.1225,"Over",0.1151,"Under",0.0624,"Over",0.2336,"Over",0.2262
"204","FKBP8","Over",0.1623,"Over",0.349,"Over",0.0967,"Over",0.1862,"Over",0.3729,"Over",0.1206
"205","UBL7","Under",0.0258,"Over",0.2652,"Over",0.0132,"Over",0.0016,"Over",0.2926,"Over",0.0405
"206","KLF6","Under",0.2775,"Under",0.2746,"Under",0.1379,"Under",0.292,"Under",0.2891,"Under",0.1524
"207","ZSWIM4","Over",0.0918,"Under",0.2182,"Under",0.2436,"Over",0.0753,"Under",0.2347,"Under",0.2602
"208","YRDC","Over",0.1754,"Under",0.2691,"Over",0.2042,"Under",0.0492,"Under",0.4937,"Under",0.0204
"209","LIAS","Under",0.0439,"Over",0.1396,"Over",0.0803,"Over",0.1829,"Over",0.3663,"Over",0.307
"210","BCL6","Over",0.1129,"Under",0.3793,"Over",0.048,"Over",0.1017,"Under",0.3905,"Over",0.0368
"211","KLF6","Under",0.3394,"Under",0.2772,"Under",0.1024,"Under",0.3853,"Under",0.3231,"Under",0.1483
"212","OXR1","Over",0.2542,"Over",0.1547,"Over",0.1475,"Over",0.2313,"Over",0.1317,"Over",0.1245
"213","RPL15","Over",0.153,"Over",0.199,"Over",0.0372,"Over",0.0975,"Over",0.1435,"Under",0.0183
"214","NUP62","Under",0.2667,"Under",0.0913,"Under",0.1156,"Under",0.27,"Under",0.0946,"Under",0.1189
"215","GTF2H5","Under",0.0032,"Over",0.1652,"Under",0.0948,"Over",0.062,"Over",0.2304,"Under",0.0296
"216","RHOG","Under",0.2585,"Under",0.2441,"Under",0.2433,"Under",0.1462,"Under",0.1318,"Under",0.1309
"217","FAM117B","Over",0.3453,"Over",0.1471,"Over",0.3432,"Over",0.3349,"Over",0.1367,"Over",0.3328
"218","RPS11","Over",0.0237,"Over",0.1279,"Under",0.0366,"Over",0.0677,"Over",0.172,"Over",0.0075
"219","SLTM","Over",0.2905,"Over",0.0529,"Over",0.2307,"Over",0.3026,"Over",0.065,"Over",0.2428
